Position,Wild,Mut,Miss
126,353,2,7
317,344,1,17
331,352,1,9
375,352,1,9
892,356,1,5
945,350,1,11
1017,356,1,5
1023,355,1,6
1045,356,1,5
1049,349,1,12
1050,355,2,5
1069,344,1,17
1124,355,1,6
1173,352,1,9
1219,352,1,9
1223,356,1,5
1327,357,1,4
1426,353,1,8
1497,357,1,4
1577,352,1,9
1691,360,1,1
1727,358,1,3
1731,349,2,11
1732,353,1,8
1741,351,1,10
1744,360,1,1
1770,338,1,23
1815,357,1,4
2020,356,1,5
2030,356,1,5
2118,348,1,13
2125,353,1,8
2131,353,1,8
2149,353,1,8
2154,357,1,4
2158,353,1,8
2198,324,22,16
2465,345,1,16
2466,345,1,16
2553,294,1,67
2555,292,1,69
2626,354,1,7
2629,357,1,4
2633,360,1,1
2686,354,1,7
2712,345,1,16
2713,353,1,8
2724,355,2,5
2780,349,1,12
2807,348,1,13
2863,350,1,11
2867,358,1,3
2876,356,1,5
2878,352,1,9
2955,351,1,10
3004,357,1,4
3009,357,1,4
3011,357,1,4
3017,356,1,5
3032,357,1,4
3063,353,1,8
3072,355,1,6
3073,354,1,7
3090,350,1,11
3133,356,1,5
3135,349,1,12
3176,352,1,9
3199,356,1,5
3206,356,1,5
3247,356,1,5
3248,356,1,5
3252,355,1,6
3282,353,1,8
3283,355,1,6
3304,355,1,6
3324,357,1,4
3356,349,1,12
3374,351,2,9
3380,354,1,7
3390,351,1,10
3393,356,1,5
3416,293,1,68
3427,357,1,4
3544,352,2,8
3624,347,1,14
3845,348,2,12
3877,339,1,22
4129,352,1,9
4349,356,1,5
4399,355,1,6
4405,354,1,7
4436,357,1,4
4463,357,1,4
4491,360,1,1
4517,299,1,62
4551,349,1,12
4557,351,1,10
4677,352,1,9
4702,351,1,10
4726,344,1,17
5081,357,1,4
5163,352,1,9
5268,361,1,0
5282,358,1,3
5315,320,1,41
5366,357,1,4
5434,358,1,3
5518,348,1,13
6263,350,1,11
6586,356,1,5
6646,346,1,15
6685,340,1,21
6688,350,1,11
6695,349,1,12
6721,357,1,4
6727,355,1,6
6722,356,1,5
7020,351,1,10
7032,352,1,9
7033,355,1,6
7116,352,1,9
7196,354,1,7
7224,349,9,4
7385,353,1,8
