Position,Wild,Mut,Miss
117,400,1,6
127,405,1,1
211,402,1,4
227,402,1,4
261,406,1,0
649,401,1,5
669,398,1,8
785,405,1,1
795,388,1,18
819,403,1,3
854,404,1,2
938,399,1,7
941,371,1,35
968,405,1,1
989,403,1,3
1081,405,1,1
1160,405,1,1
1201,403,1,3
1286,403,1,3
1378,404,1,2
1556,404,1,2
1579,403,1,3
1587,402,1,4
1646,406,1,0
1654,402,1,4
1656,406,1,0
1738,401,1,5
1763,404,1,2
1800,405,1,1
1830,404,1,2
1839,405,1,1
1846,403,1,3
1865,399,1,7
1879,401,1,5
1880,395,1,11
1933,404,1,2
1990,404,1,2
2010,403,1,3
2013,404,1,2
2027,402,1,4
2040,404,1,2
2044,406,1,0
2049,403,1,3
2053,395,1,11
2071,403,1,3
2111,403,1,3
2149,404,1,2
2232,406,1,0
2264,404,1,2
2267,403,1,3
2469,403,1,3
2472,402,1,4
2676,404,1,2
2685,400,1,6
2727,405,1,1
2728,400,1,6
2823,399,2,6
2833,401,1,5
2947,403,1,3
2994,406,1,0
3004,405,1,1
3039,405,1,1
3032,401,1,5
3122,402,1,4
3152,403,1,3
3153,406,1,0
3225,401,1,5
3240,401,1,5
3305,400,2,5
3389,399,1,7
3396,402,1,4
3400,402,1,4
3528,406,1,0
3718,401,1,5
3861,405,1,1
3981,404,1,2
4067,403,1,3
4287,404,2,1
4309,403,1,3
4360,403,1,3
4376,404,1,2
4484,398,1,8
4528,404,1,2
4593,403,1,3
4656,404,1,2
4665,401,1,5
4822,400,1,6
4843,406,1,0
4954,400,1,6
5004,403,1,3
5241,403,1,3
5254,401,1,5
5271,400,1,6
5303,397,1,9
5304,400,1,6
5768,405,1,1
5896,405,1,1
5906,401,1,5
5998,401,5,1
6001,404,1,2
6039,405,1,1
6065,404,1,2
6068,405,1,1
6069,405,1,1
6140,400,1,6
6256,400,1,6
6257,397,2,8
6463,404,1,2
6515,400,1,6
6525,397,1,9
6531,402,1,4
6528,397,1,9
6740,405,1,1
6758,399,1,7
6854,404,1,2
6856,402,1,4
6862,405,1,1
6872,402,1,4
6877,404,1,2
6983,405,1,1
6987,401,1,5
6995,404,1,2
7146,402,1,4
7147,393,2,12
7214,399,2,6
7226,405,1,1
7228,377,1,29
7297,401,1,5
7321,405,2,0
7343,404,1,2
7358,402,2,3
7417,405,1,1
7542,403,1,3
7564,403,1,3
7664,404,1,2
7672,405,1,1
7666,400,1,6
7678,403,1,3
7684,400,1,6
7763,403,1,3
7822,404,1,2
7926,406,1,0
8114,404,1,2
8205,403,1,3
8207,405,1,1
8260,402,1,4
8261,403,1,3
8309,405,1,1
8337,405,1,1
8372,403,1,3
8705,401,1,5
8720,403,1,3
8749,406,1,0
8751,403,1,3
8833,402,1,4
8856,400,1,6
8857,398,1,8
8985,406,1,0
9138,405,1,1
9223,401,1,5
9255,404,1,2
9318,400,1,6
9319,399,1,7
9371,405,1,1
9372,405,1,1
9373,405,1,1
9894,403,1,3
10182,398,1,8
10226,402,1,4
10432,400,1,6
10511,406,1,0
10571,403,1,3
10757,406,1,0
10828,400,1,6
10834,398,1,8
10896,405,1,1
11202,406,1,0
11452,404,1,2
11500,405,1,1
11538,402,1,4
11622,397,1,9
11717,402,1,4
12389,404,1,2
12586,401,1,5
12639,403,1,3
12711,403,1,3
12815,403,1,3
13698,406,1,0
12926,404,1,2
12930,401,2,4
13030,404,1,2
13257,405,1,1
13373,405,1,1
13516,403,1,3
13583,406,1,0
13629,405,1,1
13638,403,1,3
13640,406,1,0
13649,406,1,0
13653,404,1,2
13654,403,1,3
13881,403,1,3
14032,397,1,9
14129,403,1,3
14368,403,1,3
14462,402,1,4
14612,404,1,2
14808,396,1,10
14830,401,1,5
14990,403,1,3
15230,403,1,3
15360,404,1,2
15399,406,1,0
15619,402,1,4
15664,402,1,4
15687,401,1,5
15894,399,1,7
16333,402,1,4
16420,403,1,3
16449,405,1,1
16594,394,1,12
16873,399,2,6
16946,395,1,11
16960,405,1,1
17040,403,1,3
17102,403,1,3
17179,405,1,1
17195,406,1,0
17221,405,1,1
17247,404,1,2
17244,403,1,3
18145,405,1,1
18146,405,1,1
18258,404,1,2
18259,402,1,4
18342,399,1,7
18343,398,1,8
18440,403,1,3
18496,403,1,3
18497,402,1,4
18535,403,1,3
18539,399,2,6
18636,404,1,2
18655,403,1,3
18676,404,1,2
18689,400,1,6
18722,401,1,5
18778,398,2,7
18837,401,1,5
18922,404,1,2
18936,401,1,5
19297,399,1,7
19308,399,1,7
19409,403,1,3
19471,402,1,4
19677,402,1,4
19757,405,1,1
19758,405,1,1
19816,404,1,2
19844,403,1,3
19851,405,1,1
19860,405,1,1
19891,404,2,1
19917,399,1,7
19942,404,1,2
19944,406,1,0
19969,405,1,1
20001,403,1,3
20042,402,1,4
20074,406,1,0
20202,403,1,3
20220,398,1,8
20265,401,1,5
20277,403,1,3
20329,405,1,1
20338,401,1,5
20603,403,1,3
20626,402,1,4
21154,400,1,6
21222,405,1,1
21282,406,1,0
21313,405,1,1
21314,406,1,0
21329,404,1,2
21344,404,1,2
21363,402,1,4
21375,405,1,1
21404,402,1,4
22454,403,1,3
22467,405,1,1
22589,404,1,2
22872,395,1,11
23385,403,1,3
23402,404,1,2
23408,406,1,0
23414,404,1,2
23436,400,1,6
23454,405,1,1
23459,404,1,2
23556,402,1,4
23764,401,1,5
23765,405,1,1
23795,404,1,2
23797,399,2,6
23804,402,1,4
23836,402,1,4
23867,402,1,4
23868,401,1,5
23869,404,1,2
23911,399,1,7
23920,401,1,5
23986,401,1,5
24050,403,1,3
24059,398,1,8
24063,402,1,4
24073,396,1,10
24080,404,1,2
24102,401,1,5
24125,404,1,2
24172,402,1,4
24199,403,1,3
24211,401,1,5
24277,406,1,0
24280,404,1,2
24281,404,1,2
24368,406,1,0
24388,401,1,5
24419,405,1,1
24423,402,1,4
24457,406,1,0
24460,404,1,2
24463,406,1,0
24486,404,1,2
24501,404,1,2
24569,404,1,2
24570,404,1,2
24610,405,1,1
24616,403,1,3
24720,403,2,2
24751,402,1,4
24766,405,1,1
24792,404,1,2
24795,404,1,2
24934,403,1,3
24948,404,1,2
24976,404,1,2
25019,403,1,3
25025,405,1,1
25560,402,1,4
25563,402,1,4
25583,402,1,4
25818,404,1,2
25998,401,1,5
26037,405,1,1
26121,363,1,43
26124,404,1,2
26145,334,67,6
26183,403,1,3
26486,386,1,20
26572,402,1,4
26623,403,1,3
26657,401,1,5
26744,402,1,4
26783,402,1,4
26824,399,1,7
26829,404,1,2
26887,403,1,3
26905,402,1,4
27059,405,1,1
27062,405,1,1
27067,404,1,2
27127,405,1,1
27139,404,1,2
27153,402,2,3
27208,404,1,2
27489,403,1,3
27705,404,1,2
27749,404,1,2
27803,405,1,1
27813,405,1,1
27814,406,1,0
27838,404,1,2
27888,406,1,0
28228,398,1,8
28281,403,1,3
28466,403,1,3
28552,405,1,1
28595,406,1,0
28602,405,1,1
28610,405,1,1
29152,401,1,5
29230,401,1,5
29391,400,1,6
29404,397,1,9
29507,402,1,4
29715,405,1,1
29843,400,1,6
30153,400,1,6
30312,400,1,6
30314,403,1,3
30566,402,1,4
30573,404,1,2
30595,403,1,3
30621,405,1,1
30655,403,1,3
30757,405,1,1
30761,401,1,5
30764,404,1,2
30767,405,1,1
30795,402,4,1
30810,401,1,5
30811,405,1,1
30818,406,1,0
30843,403,1,3
30858,404,1,2
30923,401,1,5
30924,402,1,4
30939,403,1,3
30944,403,1,3
30952,401,1,5
31002,404,1,2
31019,403,1,3
31188,406,1,0
31361,403,1,3
31362,405,1,1
31428,406,1,0
31452,404,1,2
31553,402,1,4
31609,404,1,2
31632,403,1,3
31634,398,1,8
31697,401,1,5
31709,399,1,7
31963,403,1,3
32374,403,1,3
32439,400,1,6
32666,384,1,22
32670,396,1,10
32697,401,1,5
32998,405,1,1
33095,402,1,4
33105,404,1,2
33159,399,1,7
33285,404,1,2
33320,401,1,5
33351,394,1,12
33589,405,1,1
33620,404,1,2
33670,399,1,7
33745,401,5,1
33746,404,1,2
33747,402,2,3
33760,403,1,3
34179,398,1,8
34265,401,1,5
34289,403,1,3
34316,403,1,3
34628,403,1,3
34874,398,1,8
35038,401,1,5
35134,397,1,9
35171,399,1,7
35254,404,1,2
35635,401,1,5
35741,402,1,4
35831,404,1,2
35932,399,1,7
36022,402,1,4
36145,401,1,5
36176,401,1,5
36268,402,1,4
38039,403,1,3
38563,401,1,5
38564,399,1,7
39060,401,1,5
39276,400,1,6
39403,406,1,0
39536,404,1,2
39550,403,1,3
39596,402,1,4
39720,401,1,5
39798,405,1,1
39799,404,1,2
39808,400,1,6
39871,402,1,4
39888,406,1,0
39890,404,1,2
39896,395,1,11
39905,404,1,2
39929,403,1,3
39930,402,1,4
39934,405,1,1
39939,404,1,2
40069,399,1,7
40070,400,1,6
40072,399,1,7
40785,400,1,6
40786,401,1,5
41301,400,1,6
41336,401,1,5
41705,403,1,3
41956,404,1,2
42102,403,1,3
42335,403,1,3
42431,404,1,2
42450,404,1,2
42453,402,1,4
42662,404,1,2
42751,401,1,5
42825,406,1,0
42837,404,1,2
42849,404,1,2
42850,406,1,0
42857,404,1,2
42951,387,19,1
42967,399,1,7
42969,400,1,6
43024,398,1,8
43055,403,1,3
43722,404,1,2
43862,402,2,3
43881,404,1,2
43931,403,1,3
43956,406,1,0
43999,402,1,4
44014,403,1,3
44356,403,1,3
44406,401,1,5
44600,406,1,0
44740,404,1,2
44897,399,1,7
44939,401,1,5
44941,402,1,4
45074,401,1,5
45114,398,1,8
45249,402,1,4
45576,404,1,2
45577,404,1,2
45597,403,1,3
45604,405,1,1
45605,405,1,1
45616,402,1,4
45624,400,2,5
45626,404,1,2
45642,402,1,4
45643,402,1,4
45647,401,1,5
45654,402,1,4
45655,406,1,0
45678,402,1,4
45695,400,1,6
45697,405,1,1
45699,399,1,7
45714,400,1,6
46005,403,1,3
46006,401,1,5
46008,403,1,3
46021,405,1,1
46190,405,1,1
46250,398,1,8
46337,404,1,2
46353,403,1,3
46356,381,1,25
46425,404,1,2
46505,405,1,1
46768,402,1,4
46781,402,1,4
46786,403,1,3
46833,404,1,2
46851,405,1,1
46937,403,1,3
47061,403,1,3
47130,405,1,1
47131,403,1,3
47172,401,1,5
47185,404,1,2
47188,403,1,3
47194,404,1,2
47198,406,1,0
47360,406,1,0
47507,402,1,4
47572,404,1,2
47926,404,1,2
47964,402,1,4
47969,398,6,3
47997,398,1,8
48097,404,1,2
48510,397,1,9
48549,403,1,3
48617,404,1,2
48654,406,1,0
48695,406,1,0
48795,405,1,1
48801,403,1,3
48886,406,1,0
48995,405,1,1
48996,405,1,1
49100,402,2,3
49112,403,1,3
49131,403,1,3
49132,402,1,4
