Position,Wild,Mut,Miss
59,355,1,5
391,350,1,10
454,352,1,8
831,352,1,8
879,356,1,4
907,356,1,4
998,358,1,2
1091,355,1,5
1167,354,1,6
1193,354,1,6
1207,352,1,8
1236,355,1,5
1245,347,1,13
1302,354,1,6
1417,355,1,5
1454,349,1,11
1516,351,1,9
1590,352,1,8
1668,357,1,3
1823,350,1,10
2030,351,1,9
2035,353,1,7
2037,353,1,7
2080,358,1,2
2145,354,1,6
2172,357,1,3
2377,350,1,10
2558,351,1,9
2565,359,1,1
2567,328,1,32
2570,356,1,4
2571,338,1,22
2625,350,1,10
2895,349,1,11
2955,356,1,4
2961,358,1,2
3038,353,1,7
3039,353,1,7
3049,351,1,9
3096,356,1,4
3102,349,1,11
3105,357,1,3
3121,357,1,3
3130,357,1,3
3141,356,1,4
3146,350,1,10
3176,337,1,23
3227,351,1,9
3248,352,1,8
3249,346,1,14
3255,350,1,10
3256,352,1,8
3296,353,1,7
3311,356,1,4
3323,350,2,9
3351,342,1,18
3449,355,1,5
3454,354,1,6
3455,353,1,7
3460,347,1,13
3478,352,1,8
3493,352,1,8
3577,356,1,4
3581,352,1,8
3583,353,1,7
3593,351,1,9
3608,355,1,5
3614,357,1,3
3644,355,1,5
3700,358,1,2
3731,348,1,12
3807,353,1,7
3811,353,1,7
3822,355,1,5
3824,350,1,10
3836,350,1,10
3899,355,1,5
3921,354,1,6
3925,350,1,10
3938,353,1,7
3962,349,1,11
3966,355,1,5
3986,353,1,7
4102,352,1,8
4103,344,1,16
4104,354,1,6
4133,351,1,9
4137,343,1,17
4164,351,1,9
4198,354,1,6
4203,344,1,16
4211,355,1,5
4231,352,1,8
4237,351,1,9
4346,345,1,15
4358,356,1,4
4473,344,1,16
4488,351,1,9
4547,351,1,9
4662,344,1,16
4738,357,1,3
4746,350,1,10
4767,342,2,17
4890,350,1,10
4911,345,1,15
4923,353,1,7
4939,350,1,10
4940,352,1,8
4974,360,1,0
4987,355,1,5
5081,350,1,10
5377,349,1,11
5379,350,1,10
5392,358,1,2
5393,356,1,4
5559,351,1,9
5578,351,1,9
5646,357,1,3
5687,352,1,8
5870,344,2,15
5883,355,1,5
6069,349,1,11
6127,351,1,9
6225,352,1,8
6233,346,1,14
6240,355,1,5
6310,356,1,4
6391,346,1,14
6524,357,1,3
6532,350,1,10
6545,349,2,10
6531,351,1,9
6544,350,1,10
6645,358,1,2
6722,353,1,7
6883,354,1,6
7036,347,1,13
7062,344,2,15
7083,352,1,8
7088,350,1,10
7304,359,1,1
7534,355,1,5
7824,351,1,9
7858,353,2,6
